"id (S)","created_at (S)","followers_count (N)","geo (S)","location (S)","polarity (S)","screen_name (S)","sentiment (S)","subjectivity (S)","tweet (S)","username (S)"
"988610895663087616","Tue Apr 24 02:49:39 +0000 2018","680","None","Toronto, ON","-0.0625","davesbarnett","negative","0.391666666667","RT @MStrooo6: World is becoming scarier by the second. Should never have to question whether going outside for a walk is a bad idea or not.…","Dave Barnett"
"988610987921231872","Tue Apr 24 02:50:01 +0000 2018","537","None","Nabta Playa #2017","-0.458333333333","Illuminati147","negative","0.458333333333","RT @cosmoCTV: Flags flying at half mast tonight at #MontrealCityHall for the victims of today's tragic event in Toronto. @CTVMontreal @Your…","Illuminati147KABIRIA"
"988610815665278976","Tue Apr 24 02:49:20 +0000 2018","410","None","Vaughan ","0.6","CamHackett","positive","0.9","RT @barstoolsports: The Toronto Maple Leafs fans singing O Canada is amazing #TorontoStrong https://t.co/FsgunH4gHW","Cam Hackett"
"988610991259709442","Tue Apr 24 02:50:02 +0000 2018","339","None","Burlington, Ontario","-0.2","dvaughan0","negative","0.35","RT @CBCToronto: Toronto police barricading intersections from Simcoe to York, south of Front. The Maple Leafs game will be ending shortly a…","Danielle Vaughan"
"988610909802287104","Tue Apr 24 02:49:43 +0000 2018","5026","None","United States","-0.2","patriotlance","negative","0.0","RT @Franklin_Graham: Pray for all those injured &amp; the families of those killed in today’s Toronto van attack. https://t.co/W1ZMOr0Iip","Noble Patriot"
"988610859105771520","Tue Apr 24 02:49:30 +0000 2018","9","None","None","0.375","Anitar13servu","positive","0.75","@JohnDerringer So upsetting to see this kinda of horror in Toronto. Being excited for the leafs and then the realiz… https://t.co/GctbQ9e7S1","Anita Rotiroti"
"988610994841817090","Tue Apr 24 02:50:03 +0000 2018","1440","None","New Jersey","-0.4125","Seekandfind","negative","0.8","RT @Seekandfind: RT @Seekandfind: RT @Seekandfind: Toronto I need people to get stark raving mad that we CAN'T FIND… https://t.co/gKkMbSfWWd","Seekandfind"
"988610997748367360","Tue Apr 24 02:50:04 +0000 2018","664","None","Michigan","-0.0047619047619","JediSpiceGissia","negative","0.311904761905","RT @sahluwal: The right wants to mock the tragedy in Toronto by calling for a disingenuous ban on cars, what they fail to understand is tha…","JSG"
"988610841237860352","Tue Apr 24 02:49:26 +0000 2018","1670","None","Canada","0.525","binku","positive","0.65","This cop is very admirable!

This is why I am so proud of police in Canada. https://t.co/XLhmjSjlRk","ɐpɐɹɐu"
"988611032078848000","Tue Apr 24 02:50:12 +0000 2018","4975","None","Brazil ","0.5","niamfalls","positive","0.6","RT @ShawnMendes: All of my love to Toronto. Heartbreaking. ❤️","laura vai na hslot RJ 🌹"
"988610893540769793","Tue Apr 24 02:49:39 +0000 2018","171","None","Bangkok, Thailand","-0.2","_aaunxx","negative","0.4","RT @nowthisnews: BREAKING: 9 people are dead and 16 injured after a van struck pedestrians in #Toronto https://t.co/L3GJrASf2V","unnamed"
"988610944807780352","Tue Apr 24 02:49:51 +0000 2018","5164","None","Australia/India","-0.2","nayanikaaa","negative","0.266666666667","The Toronto van driver is #alekminassian. Everyone relax, it's a white male. Disappointing for those who wanted Tru… https://t.co/2h6a4ElLO6","Nayanika"
"988610888767885313","Tue Apr 24 02:49:38 +0000 2018","284","None","None","-0.2","LemonTree471930","negative","0.0","RT @PrisonPlanet: A jihadist has just killed 9 people and the Mayor is already out virtue signalling. https://t.co/sw2lJv9aEz","Lemon Tree"
"988610974608445441","Tue Apr 24 02:49:58 +0000 2018","398","None","New York, NY","0.5","lexijavornik","positive","0.6","RT @britneyspears: Sending my love to the people of Toronto and all those affected ❤️ https://t.co/sJW1D7Mr3F","Lexi Javornik"
"988610951086735360","Tue Apr 24 02:49:52 +0000 2018","597","None","United States","0.0","JonDRankin1","neutral","0.0","RT @wokbot: 這就是25歲家住列治文山市的多倫多汽車恐襲致10死15傷的敘利亞人Alek Minassian。 https://t.co/Q9lCSDGH61","Jon D. Rankin"
"988610864306642945","Tue Apr 24 02:49:32 +0000 2018","517","None","binghamton, NY","0.6","rrushy80","positive","0.9","RT @barstoolsports: The Toronto Maple Leafs fans singing O Canada is amazing #TorontoStrong https://t.co/FsgunH4gHW","Rob Rauschmeier"
"988610969889792000","Tue Apr 24 02:49:57 +0000 2018","595","None","Surrey, British Columbia","-0.155555555556","KobeBryantApna","negative","0.288888888889","Alek Minassian video posted ahead of that 2014 attack Rodger raged about a number of women turning down 
The appare… https://t.co/RemoxKNUmW","KobeBryantReturns"
"988610916622262277","Tue Apr 24 02:49:44 +0000 2018","7819","None","None","-1.0","strstrmy02","negative","1.0","RT @charliekirk11: Horrible car attack in Toronto 

Maybe they should ban automobiles? 

You can ban stuff all day, but you can’t ban evil","Stormy Bird 🐸🎺🚂  🇺🇸"
"988610807369011201","Tue Apr 24 02:49:18 +0000 2018","3239","None","Saltillo Coahuila de Zaragoza ","0.0","miguel_angel_l","neutral","0.0","RT @EPN: México expresa su solidaridad y condolencias al pueblo y gobierno de Canadá, así como a los familiares de las personas que resulta…","Miguel Angel Leal R"
"988610971534061568","Tue Apr 24 02:49:57 +0000 2018","657","None","None","-0.333333333333","KitCoco","negative","0.5","RT @johnpavlovitz: Because one of the chief responsibilities of law enforcement officers is to de-escalate tense situations.

That is what…","Kathy_Coco"
"988610942773710852","Tue Apr 24 02:49:50 +0000 2018","222","None","Canada","-0.1","RaanaSk","negative","0.3125","RT @JustinTrudeau: Tonight, the hearts &amp; thoughts of an entire country are with the families and friends of those killed in Toronto today.…","S.K.Raana"
"988610858711486469","Tue Apr 24 02:49:30 +0000 2018","501","None","Kingston, Ontario","-0.15","kfacc","negative","0.25","What we know about the alleged driver in deadly Toronto van attack
https://t.co/qMKdpUKQkI","KFACC"
"988610888159576064","Tue Apr 24 02:49:37 +0000 2018","677","None","Toronto, Ontario, Canada","0.09375","papillon4444","positive","0.235416666667","RT @marlawd: The Safe Cities Index last year ranked #Toronto the fourth safest city in the world, ahead of any other city in North America…","papillon4444, rabble-rousing crone 🇨🇦"
"988610799886188547","Tue Apr 24 02:49:16 +0000 2018","346","None","Hell, MI","-0.1","funerarygirl","negative","0.3125","RT @JustinTrudeau: Tonight, the hearts &amp; thoughts of an entire country are with the families and friends of those killed in Toronto today.…","cat"
"988610859109826560","Tue Apr 24 02:49:30 +0000 2018","243","None","None","-0.0269841269841","saharvey75","negative","0.456349206349","@kimmaytube Truth be told had he been black right here in Toronto he might've been shot dead as well. https://t.co/qF7UxQC5Nx","Rina Alexis"
"988610807310290945","Tue Apr 24 02:49:18 +0000 2018","34060","None","Texas, Interstate Towing & Recovery of Kyle","-1.0","t2gunner","negative","1.0","RT @CoreyLMJones: Toronto is just another example of the senseless evil we have in our world.

You could ban everything, but evil people wo…","Tom Maloney"
"988610844476035072","Tue Apr 24 02:49:27 +0000 2018","452","None","Macon,GA/Louisville, KY","0.6","Neshel_B08","positive","1.0","So no comment about the terrorist act in ya own backyard https://t.co/0ZsGTfiBOG","✨Neshel✨"
"988610960880365569","Tue Apr 24 02:49:55 +0000 2018","442","None","None","-1.0","tiararivers_","negative","1.0","RT @JustinTrudeau: Our thoughts are with all those affected by the terrible incident at Yonge and Finch in Toronto. Thank you to the first…","t"
"988611006875217920","Tue Apr 24 02:50:06 +0000 2018","43","None","Toronto, Ontario","0.5","nattydmo14","positive","0.6","RT @ShawnMendes: All of my love to Toronto. Heartbreaking. ❤️","natalia D💮"
"988610793993375745","Tue Apr 24 02:49:15 +0000 2018","633","None","NYC","0.5","DittoPost","positive","0.7","RT @VP: .@POTUS &amp; I are closely monitoring the attack on innocent people in Toronto this afternoon. We are with the Canadian people tonight…","DittoPost"
"988611000621453312","Tue Apr 24 02:50:04 +0000 2018","140","None","None","-0.1","doitlikeyang","negative","0.3125","RT @JustinTrudeau: Tonight, the hearts &amp; thoughts of an entire country are with the families and friends of those killed in Toronto today.…","🌷"
"988610871537688576","Tue Apr 24 02:49:33 +0000 2018","4310","None","wilkes-barre,Pa","0.025","Crazy4Rossdale","positive","0.1","RT @cristina_CP24: 25 year old under arrest, Alek Minassian, Toronto Police Chief @marksaunderstps advises. 1-416-808-8750 is a # people ca…","melissa hossage"
"988610803073863680","Tue Apr 24 02:49:17 +0000 2018","345","None","None","0.154166666667","itshammadd","positive","0.675","@aleenaazhar1 North Toronto area, extremely sad incident. Alhamdullilah we are fine Aleena ji thanks for asking :) 

https://t.co/O20xWbPilD","Hammad"
"988610919214342144","Tue Apr 24 02:49:45 +0000 2018","47","None","United States","0.0","beastman002","neutral","0.0","RT @cnnbrk: A 10th person has died in Toronto as the result of a man driving a van into a crowd of pedestrians https://t.co/R2kMMJueIP http…","Austin Sandoval"
